joint_value_FR_Thigh,accel_x,accel_y,accel_z,foot_force,"Label (stand : 1, Sit : 0)"
-0.661144069,0.0658405,-0.0921768,9.25718,29,1
-0.689500905,-0.0167594,-0.108936,9.25479,29,1
-0.689316352,-0.0167594,-0.108936,9.25479,29,1
-0.699541903,0.0059855,-0.0634463,9.18057,29,1
-0.685965081,0.0059855,-0.0634463,9.18057,29,1
-0.688239508,0.0059855,-0.0634463,9.18057,29,1
-0.677638665,-0.0179565,-0.0323217,9.26436,29,1
-0.690209463,-0.0179565,-0.0323217,9.26436,29,1
-0.683146413,-0.0347159,-0.0371101,9.28232,29,1
-0.652146764,-0.0347159,-0.0371101,9.28232,29,1
-0.662918516,-0.0347159,-0.0371101,9.28232,29,1
-0.657583668,-0.023942,-0.0814029,9.35654,29,1
-0.674157501,-0.023942,-0.0814029,9.35654,29,1
-0.693256954,-0.011971,-0.0167594,9.44273,29,1
-0.696300249,-0.011971,-0.0167594,9.44273,30,1
-0.696575437,-0.011971,-0.0167594,9.44273,30,1
-0.666874136,0.0203507,0.0730232,9.41041,30,1
-0.677121455,0.0203507,0.0730232,9.41041,30,1
-0.694742703,0.0131681,0.0395043,9.44034,30,1
-0.666218147,0.0131681,0.0395043,9.44034,30,1
-0.662921899,0.0131681,0.0395043,9.44034,30,1
-0.658300432,0.0371101,0.0885855,9.50498,30,1
-0.697309942,0.0371101,0.0885855,9.50498,30,1
-0.663673281,0.0766145,0.0538695,9.53611,30,1
-0.676759906,0.0766145,0.0538695,9.53611,30,1
-0.657871124,0.0766145,0.0538695,9.53611,30,1
-0.678746378,0.100556,-0.0035913,9.50977,30,1
-0.664441006,0.100556,-0.0035913,9.50977,30,1
-0.651233783,0.0730232,0.0215478,9.61033,30,1
-0.654913343,0.0730232,0.0215478,9.61033,30,1
-0.698380299,0.0730232,0.0215478,9.61033,30,1
-0.687627615,0.0706289,0.0275333,9.59117,30,1
-0.679077196,0.0706289,0.0275333,9.59117,30,1
-0.670447893,0.0861913,0.00957681,9.5397,30,1
-0.660379665,0.0861913,0.00957681,9.5397,30,1
-0.684100514,0.0861913,0.00957681,9.5397,30,1
-0.679486708,0.0646434,0.0155623,9.59357,30,1
-0.694556866,0.0646434,0.0155623,9.59357,30,1
-0.652353629,0.0646434,0.0155623,9.59357,30,1
-0.668122571,0.104148,0.0347159,9.52413,30,1
-0.688609514,0.104148,0.0347159,9.52413,30,1
-0.661381306,0.0622492,0.0047884,9.4547,30,1
-0.698216433,0.0622492,0.0047884,9.4547,29,1
-0.667897677,0.0622492,0.0047884,9.4547,29,1
-0.674856352,0.035913,0.0227449,9.44752,29,1
-0.651531483,0.035913,0.0227449,9.44752,30,1
-0.682002865,0.071826,0.0311246,9.43316,30,1
-0.659051119,0.071826,0.0311246,9.43316,30,1
-0.6500844,0.071826,0.0311246,9.43316,30,1
-0.666775921,0.0837971,0.124498,9.47146,30,1
-0.660770545,0.0837971,0.124498,9.47146,30,1
-0.678969515,0.0670376,0.116119,9.46069,30,1
-0.693409763,0.0670376,0.116119,9.46069,30,1
-0.678406689,0.0670376,0.116119,9.46069,30,1
-0.657384939,0.0514753,0.124498,9.54808,30,1
-0.68515991,0.0514753,0.124498,9.54808,30,1
